Episode,Reward,Timer,Input_PosX,Input_PosY,Input_Angle,Input_DistNorm,Output_Accelerate,Output_TurnLeft,Output_TurnRight,Output_Dash,Output_Skill,Target_Accelerate,Target_TurnLeft,Target_TurnRight,Target_Dash,Target_Skill,Loss
1,1.12,6.40,-0.4192,0.1913,47.9487,0.6115,-0.5501,-2.3317,-1.0569,0.8671,-0.4277,-0.5501,-2.3317,-1.0569,1.9757,-0.4277,0.245792
1,1.20,6.50,-0.4192,0.1913,47.9487,0.6115,-0.5677,-2.3525,-0.9169,1.9362,-0.4100,-0.5677,3.1291,-0.9169,1.9362,-0.4100,6.009459
1,1.26,6.60,-0.4192,0.1913,23.9487,0.6115,-1.1354,-1.9407,-0.9424,3.4294,-0.8684,-1.1354,-1.9407,-0.9424,3.6038,-0.8684,0.006082
1,2.02,6.70,-0.4192,0.1913,3.9486,0.6115,-0.2974,-1.1750,-0.6286,3.1199,-0.9819,-0.2974,-1.1750,-0.6286,2.9480,-0.9819,0.005909
1,2.19,6.80,-0.2431,0.2131,0.6691,0.5230,0.1728,-0.2100,0.2572,1.1471,-0.1445,0.1728,-0.2100,0.2572,4.4492,-0.1445,2.180803
1,2.28,6.90,-0.0688,0.2346,1.5992,0.4355,0.1089,-0.4967,-0.0090,2.5963,-0.6044,0.1089,-0.4967,-0.0090,5.7696,-0.6044,2.013955
1,2.36,7.00,0.0462,0.2488,2.4486,0.3779,-0.0170,-0.8067,-0.1222,3.9266,-0.9010,-0.0170,-0.8067,-0.1222,7.0950,-0.9010,2.007813
1,2.41,7.10,0.1445,0.2610,3.4110,0.3287,-0.1462,-1.0880,-0.0902,5.6141,-0.6843,-0.1462,-1.0880,-0.0902,8.4762,-0.6843,1.638294
1,2.45,7.20,0.2027,0.2682,4.1295,0.2996,-0.0969,-1.0322,0.2604,6.7459,-0.5709,-0.0969,-1.0322,0.2604,9.4815,-0.5709,1.496737
1,2.47,7.30,0.2455,0.2735,4.7522,0.2783,-0.1507,-1.3383,0.5609,7.8820,-0.4127,-0.1507,-1.3383,0.5609,10.5162,-0.4127,1.387759
1,2.49,7.40,0.2768,0.2774,5.2734,0.2627,-0.1760,-1.7021,1.0089,8.5045,-0.3904,-0.1760,-1.7021,1.0089,11.1083,-0.3904,1.355921
1,2.50,7.50,0.3036,0.2807,5.7710,0.2494,-0.1859,-1.7742,1.8511,9.0815,-0.3605,-0.1859,-1.7742,1.8511,11.6059,-0.3605,1.274586
1,2.01,7.60,0.3195,0.2826,6.0913,0.2415,-0.0402,-1.8816,2.9000,10.2091,-0.1536,-0.0402,-1.8816,2.9000,12.1936,-0.1536,0.787694
1,2.24,7.70,0.3312,0.2841,6.3400,0.2357,0.3194,-2.1992,3.1977,11.1319,0.0704,0.3194,-2.1992,3.1977,13.7626,0.0704,1.384143
1,2.77,7.80,0.5053,0.3179,10.1373,0.1479,0.7452,-2.3825,3.5963,12.7105,0.2133,0.7452,-2.3825,3.5963,15.1918,0.2133,1.231332
1,2.10,7.90,0.6157,0.3325,7.7884,0.1127,0.7342,-2.4972,4.2423,13.4178,0.1652,0.7342,-2.4972,4.2423,5.0065,0.1652,14.150000
1,1.99,8.00,0.6587,0.3168,-29.3087,0.1574,-0.5075,2.9356,-3.7252,-12.8620,-0.5460,-0.5075,4.8995,-3.7252,-12.8620,-0.5460,0.771384
1,1.92,8.10,0.6799,0.3091,-47.0987,0.1796,-0.5075,2.8700,-4.0561,-13.4344,-0.9914,-0.5075,4.7576,-4.0561,-13.4344,-0.9914,0.712603
1,1.84,8.20,0.6954,0.3035,-59.6637,0.1959,-0.9775,3.1034,-4.2471,-14.3931,-0.9914,4.9160,3.1034,-4.2471,-14.3931,-0.9914,6.946830
1,1.80,8.30,0.7104,0.2980,-71.2264,0.2117,-1.2188,3.0662,-4.2679,-15.2108,-1.2324,-1.2188,4.8390,-4.2679,-15.2108,-1.2324,0.628536
1,1.78,8.40,0.7190,0.2949,-77.4409,0.2208,-1.8140,3.0690,-4.6247,-15.3748,-1.2324,-1.8140,4.8186,-4.6247,-15.3748,-1.2324,0.612193
1,1.76,8.50,0.7241,0.2930,-80.9233,0.2261,-1.6889,3.7393,-5.0031,-16.2331,-1.4950,-1.6889,5.4656,-5.0031,-16.2331,-1.4950,0.595999
1,1.75,8.60,0.7279,0.2916,-83.3540,0.2301,-2.4507,3.4650,-5.0031,-16.5083,-1.4950,-2.4507,5.1821,-5.0031,-16.5083,-1.4950,0.589705
1,1.67,8.70,0.7306,0.2906,-85.0495,0.2330,-2.7006,3.5096,-5.2011,-16.7806,-1.4950,-2.7006,5.1412,-5.2011,-16.7806,-1.4950,0.532424
1,1.60,8.80,0.7330,0.2898,-108.9743,0.2354,-2.4152,4.3734,-5.4058,-17.5092,-1.7668,-2.4152,5.9267,-5.4058,-17.5092,-1.7668,0.482540
1,1.53,8.90,0.7343,0.2893,-128.9305,0.2369,-2.2626,4.4533,-6.0503,-17.4102,-2.0407,-2.2626,5.9363,-6.0503,-17.4102,-2.0407,0.439850
1,1.46,9.00,0.7352,0.2890,-148.9178,0.2380,-2.5271,4.4036,-6.4846,-18.1475,-2.3147,-2.5271,5.8182,-6.4846,-18.1475,-2.3147,0.400221
1,3.46,9.10,0.7352,0.2890,-168.9735,0.2391,-2.3783,4.6570,-6.9762,-18.1173,-2.8702,-2.3783,3.4636,-6.9762,-18.1173,-2.8702,0.284868
1,3.53,9.20,0.7352,0.2890,166.9792,0.2399,3.0821,-3.3439,9.1181,21.1279,3.6980,3.0821,-3.3439,9.1181,3.5296,3.6980,61.939980
1,3.60,9.30,0.7352,0.2890,146.9614,0.2403,3.3974,-3.7657,9.5392,20.8005,4.3057,3.3974,-3.7657,9.5392,3.5963,4.3057,59.197250
1,3.66,9.40,0.7352,0.2890,126.9614,0.2403,3.3974,-3.6697,10.2131,20.2893,4.3057,3.3974,-3.6697,10.2131,3.6630,4.3057,55.287250
1,3.74,9.50,0.7352,0.2890,106.9614,0.2403,3.3974,-2.9736,11.1033,20.3167,5.4144,3.3974,-2.9736,11.1033,3.7430,5.4144,54.937810
1,3.82,9.60,0.7352,0.2890,82.9614,0.2403,3.7040,-2.7777,11.1984,20.4815,5.4144,3.7040,-2.7777,11.1984,3.8230,5.4144,55.501050
1,3.89,9.70,0.7352,0.2890,58.9614,0.2403,3.7017,-3.3771,11.8479,19.6471,5.4144,3.7017,-3.3771,11.8479,3.8896,5.4144,49.659540
1,3.95,9.80,0.7352,0.2890,38.9614,0.2403,3.7017,-3.0156,12.2700,19.7075,5.6735,3.7017,-3.0156,12.2700,3.9462,5.6735,49.683750
