Episode,Step,PosX,PosY,Angle,DistN,AccProb,TurnLeftProb,TurnRightProb,DashProb,SkillProb,Action,Reward,Entropy,OriginalEntropy,PolicyLoss,ValueLoss,TotalLoss,Advantage,ClippedRatio,Return
0,0,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,3,3.0216,1.5906,1.5906,0.0000,0.0000,0.0000,0.0000,0.0000,3.0216
0,1,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,4,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,0.8000,3.0232
0,2,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,1,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,1.0247,3.0232
0,3,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,4,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,0.9711,3.0232
0,4,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,4,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,1.0298,3.0232
0,5,0.00,0.42,0.00,0.74,0.1971,0.1922,0.1896,0.1932,0.1979,0,3.0216,1.5906,1.5906,-3.0216,9.1300,-0.3144,3.0216,1.0000,3.0232
0,6,0.00,0.42,0.00,0.67,0.1971,0.1922,0.1896,0.1932,0.1980,0,3.1538,1.5906,1.5906,-3.1538,9.9463,-0.2017,3.1538,0.9957,3.1552
0,7,0.00,0.42,0.00,0.62,0.1970,0.1922,0.1896,0.1931,0.1980,4,2.7552,1.5906,1.5906,-2.7552,7.5909,-0.5097,2.7552,0.9998,2.7565
0,8,0.00,0.42,0.00,0.59,0.1970,0.1922,0.1896,0.1931,0.1980,1,2.8256,1.5906,1.5906,-2.8256,7.9839,-0.4622,2.8256,1.0050,2.8269
0,9,0.00,0.42,0.00,0.56,0.1970,0.1922,0.1896,0.1931,0.1981,1,2.8773,1.5906,1.5906,-2.8773,8.2787,-0.4255,2.8773,0.9708,2.8786
0,10,0.00,0.42,0.00,0.54,0.1970,0.1923,0.1896,0.1931,0.1981,1,2.9152,1.5906,1.5906,-2.9152,8.4985,-0.3975,2.9152,1.0000,2.9165
0,11,0.00,0.42,0.00,0.53,0.1970,0.1923,0.1896,0.1931,0.1981,2,2.9477,1.5906,1.5906,-2.9477,8.6888,-0.3729,2.9477,1.0000,2.9489
0,12,0.00,0.42,0.00,0.52,0.1970,0.1923,0.1896,0.1931,0.1981,2,2.9669,1.5906,1.5906,-2.9669,8.8024,-0.3580,2.9669,0.9859,2.9681
0,13,0.00,0.42,0.00,0.51,0.1970,0.1923,0.1896,0.1931,0.1981,3,2.9810,1.5906,1.5906,-2.9810,8.8862,-0.3469,2.9810,1.0000,2.9822
0,14,0.00,0.42,0.00,0.44,0.1969,0.1923,0.1895,0.1931,0.1981,3,3.6288,1.5906,1.5906,-3.6288,13.1683,0.2899,3.6288,1.0189,3.6299
0,15,0.09,0.42,0.00,0.35,0.1969,0.1922,0.1895,0.1932,0.1982,2,3.8062,1.5906,1.5906,-3.8062,14.4873,0.5082,3.8062,1.0003,3.8076
0,16,0.23,0.42,0.00,0.28,0.1968,0.1921,0.1894,0.1933,0.1984,0,3.9499,1.5906,1.5906,-3.9499,15.6015,0.6988,3.9499,0.9803,3.9517
0,17,0.35,0.42,0.00,0.22,0.1968,0.1920,0.1893,0.1934,0.1985,2,4.0672,1.5906,1.5906,-4.0671,16.5416,0.8635,4.0671,1.0393,4.0694
0,18,0.41,0.42,0.00,0.18,0.1968,0.1920,0.1892,0.1934,0.1986,1,4.1334,1.5906,1.5906,-4.1333,17.0845,0.9602,4.1333,0.9615,4.1358
0,19,0.46,0.42,0.00,0.16,0.1968,0.1919,0.1892,0.1935,0.1986,3,4.1820,1.5906,1.5906,-4.1819,17.4886,1.0328,4.1819,1.0142,4.1846
0,20,0.50,0.42,0.00,0.14,0.1968,0.1919,0.1892,0.1935,0.1987,3,4.2235,1.5906,1.5906,-4.2235,17.8379,1.0961,4.2235,1.0082,4.2263
0,21,0.53,0.42,0.00,0.13,0.1968,0.1919,0.1892,0.1935,0.1987,2,4.2481,1.5906,1.5906,-4.2481,18.0463,1.1340,4.2481,1.0001,4.2510
0,22,0.55,0.42,0.00,0.12,0.1968,0.1919,0.1891,0.1935,0.1987,4,3.7662,1.5906,1.5906,-3.7662,14.1839,0.4572,3.7662,0.9774,3.7691
0,23,0.56,0.42,0.00,0.11,0.1968,0.1919,0.1891,0.1935,0.1987,3,3.7794,1.5906,1.5906,-3.7794,14.2839,0.4739,3.7794,1.0506,3.7824
