Episode,Reward,Timer,Input_PosX,Input_PosY,Input_Angle,Input_DistNorm,Output_Accelerate,Output_TurnLeft,Output_TurnRight,Target_Accelerate,Target_TurnLeft,Target_TurnRight,Loss
1,0.70,6.40,-0.3287,0.2486,170.3882,0.7149,1.8614,-0.4159,-0.7364,1.8614,2.5400,-0.7364,2.912471
1,0.68,6.50,-0.4110,0.2243,138.9159,0.7572,5.1611,0.6241,-1.8952,5.7890,0.6241,-1.8952,0.131429
1,0.70,6.60,-0.4885,0.1363,113.6683,0.8024,8.6984,2.1772,-3.7772,9.3141,2.1772,-3.7772,0.126355
1,0.80,6.70,-0.5221,-0.0060,82.2712,0.8344,11.6063,3.5667,-7.3413,12.2923,3.5667,-7.3413,0.156849
1,0.73,6.80,-0.4658,-0.1409,51.2923,0.8277,15.3398,4.4995,-8.6880,15.3398,4.4995,15.9170,201.802600
1,0.68,6.90,-0.4395,-0.2038,77.6528,0.8268,17.2391,8.3983,-9.7868,17.7498,8.3983,-9.7868,0.086917
1,0.62,7.00,-0.3914,-0.2733,100.5412,0.8188,18.8301,10.3623,-10.7164,19.2579,10.3623,-10.7164,0.061008
1,0.54,7.10,-0.3543,-0.4148,112.7697,0.8353,20.9796,13.2295,-9.3039,21.3117,13.2295,-9.3039,0.036758
1,1.12,7.20,-0.3355,-0.5598,117.2331,0.8662,23.7507,14.7404,-11.1130,13.3575,14.7404,-11.1130,36.006140
1,1.28,7.30,-0.6971,0.4245,0.0000,0.7392,10.9921,8.3913,10.1742,11.9133,8.3913,10.1742,0.282875
1,1.43,7.40,-0.5377,0.4245,0.0000,0.6595,13.4739,9.4452,13.6570,15.1421,9.4452,13.6570,0.927604
1,1.43,7.50,-0.3915,0.4245,0.0000,0.5864,16.8955,10.9826,15.6500,16.8955,10.9826,26.2397,37.380540
1,1.57,7.60,-0.3330,0.4245,20.0000,0.5571,27.6288,18.8432,0.3770,28.9377,18.8432,0.3770,0.571119
1,1.69,7.70,-0.1832,0.3700,23.2355,0.4830,29.1886,20.6083,-1.4918,30.5946,20.6083,-1.4918,0.658953
1,1.76,7.80,-0.0458,0.3200,27.2035,0.4168,26.2234,18.6032,-5.2583,27.7187,18.6032,-5.2583,0.745279
1,1.82,7.90,0.0336,0.2911,30.1182,0.3797,28.8370,20.0896,-5.2913,30.3675,20.0896,-5.2913,0.780826
