Episode,Step,PosX,PosY,Angle,DistN,Action0P,Action1P,Action2P,Action,Reward,Entropy,OriginalEntropy,PolicyLoss,ValueLoss,TotalLoss,Advantage,ClippedRatio,Return
0,0,0.00,0.42,0.00,0.74,0.3151,0.3256,0.3293,0,2.5216,1.0950,1.0950,0.0000,0.0000,0.0000,0.0000,0.0000,2.5216
0,1,0.00,0.42,0.00,0.65,0.3151,0.3255,0.3294,1,2.6934,1.0950,1.0950,-2.6935,7.2548,-0.5389,2.6935,0.8000,2.6880
0,2,0.00,0.42,0.00,0.62,0.3151,0.3255,0.3294,0,2.7537,1.0950,1.0950,-2.7537,7.5830,-0.5007,2.7537,1.0330,2.7482
0,3,0.00,0.42,0.00,0.58,0.3151,0.3255,0.3294,2,2.8381,1.0950,1.0950,-2.8382,8.0554,-0.4435,2.8382,0.9679,2.8327
0,4,0.00,0.42,0.00,0.54,0.3151,0.3255,0.3294,2,2.9255,1.0950,1.0950,-2.9255,8.5587,-0.3798,2.9255,1.0456,2.9200
0,5,0.00,0.42,0.00,0.51,0.3151,0.3255,0.3295,2,2.9772,1.0950,1.0950,-2.9772,8.8639,-0.3400,2.9772,1.0001,2.9716
0,6,0.00,0.42,0.00,0.49,0.3150,0.3255,0.3295,0,3.0214,1.0950,1.0950,-3.0214,9.1291,-0.3046,3.0214,1.0000,3.0158
0,7,0.00,0.42,0.00,0.45,0.3150,0.3255,0.3295,1,3.1059,1.0950,1.0950,-3.1059,9.6467,-0.2338,3.1059,0.9561,3.1003
0,8,0.00,0.42,0.00,0.41,0.3150,0.3255,0.3295,2,3.1808,1.0950,1.0950,-3.1809,10.1178,-0.1674,3.1809,1.0331,3.1752
0,9,0.03,0.42,0.00,0.38,0.3150,0.3255,0.3295,1,3.2449,1.0950,1.0950,-3.2449,10.5297,-0.1079,3.2449,1.0126,3.2392
0,10,0.06,0.42,0.00,0.36,0.3150,0.3255,0.3295,1,3.2828,1.0950,1.0950,-3.2829,10.7773,-0.0716,3.2829,0.9877,3.2771
0,11,0.09,0.42,0.00,0.34,0.3149,0.3255,0.3295,0,3.3107,1.0950,1.0950,-3.3107,10.9609,-0.0444,3.3107,1.0001,3.3049
0,12,0.18,0.42,0.00,0.30,0.3149,0.3256,0.3295,0,3.3952,1.0950,1.0950,-3.3952,11.5275,0.0411,3.3952,0.9674,3.3892
0,13,0.29,0.42,0.00,0.24,0.3148,0.3256,0.3295,1,3.5124,1.0950,1.0950,-3.5125,12.3375,0.1669,3.5125,0.9998,3.5063
0,14,0.36,0.42,0.00,0.21,0.3148,0.3257,0.3295,0,3.5786,1.0950,1.0950,-3.5787,12.8070,0.2415,3.5787,1.0344,3.5724
0,15,0.46,0.42,0.00,0.16,0.3147,0.3257,0.3295,1,3.6800,1.0950,1.0950,-3.6801,13.5428,0.3609,3.6801,0.9664,3.6736
0,16,0.55,0.42,0.00,0.11,0.3147,0.3258,0.3295,0,3.7730,1.0950,1.0950,-3.7731,14.2364,0.4759,3.7731,1.0352,3.7665
