situation,strategy
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:3.70,1.11; rot:90; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:1.03,1.11; rot:164; vel:0.66,-0.00; ang_vel:121.41",turn_left_73
"pos:1.22,1.11; rot:197; vel:0.30,-0.00; ang_vel:51.52",accelerate
"pos:1.24,1.04; rot:198; vel:1.18,-3.82; ang_vel:49.46",turn_left_62
"pos:-1.05,1.11; rot:18; vel:-0.06,-0.00; ang_vel:10.92",turn_right_15
"pos:-0.95,1.11; rot:18; vel:-0.28,-0.00; ang_vel:49.46",turn_left_15
"pos:-0.61,-0.25; rot:356; vel:0.07,4.00; ang_vel:4.27",dash
"pos:-0.05,1.26; rot:26; vel:1.11,2.24; ang_vel:99.52",turn_right_37
"pos:0.27,1.90; rot:54; vel:0.47,0.95; ang_vel:40.54",accelerate
"pos:-1.68,2.59; rot:23; vel:-0.28,0.68; ang_vel:82.22",turn_right_15
"pos:-1.68,2.59; rot:24; vel:-0.28,0.68; ang_vel:82.22",turn_left_15
"pos:-1.35,3.03; rot:83; vel:-0.36,0.32; ang_vel:11.28",accelerate
"pos:-2.99,3.11; rot:111; vel:-0.57,0.18; ang_vel:53.82",turn_left_15
"pos:-1.96,3.11; rot:84; vel:-3.98,0.42; ang_vel:8.14",dash
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:3.70,1.11; rot:90; vel:0.00,0.00; ang_vel:0.00",accelerate
"pos:-3.30,1.11; rot:268; vel:0.00,0.00; ang_vel:0.00",turn_right_15
"pos:-3.30,1.11; rot:270; vel:0.00,0.00; ang_vel:0.00",turn_left_15
"pos:0.46,1.34; rot:155; vel:-0.09,0.25; ang_vel:66.35",turn_left_26
"pos:0.44,1.38; rot:166; vel:-0.06,0.16; ang_vel:44.11",accelerate
"pos:0.30,0.63; rot:173; vel:-0.52,-3.97; ang_vel:29.33",turn_left_46
"pos:-0.91,0.32; rot:329; vel:-0.20,-0.20; ang_vel:39.77",turn_right_15
"pos:-0.90,0.33; rot:351; vel:-0.23,-0.23; ang_vel:44.95",turn_left_15
"pos:-1.75,0.50; rot:299; vel:0.51,1.32; ang_vel:-48.22",turn_left_30
"pos:-1.63,0.83; rot:286; vel:0.22,0.56; ang_vel:-21.31",turn_left_22
"pos:-1.62,0.85; rot:285; vel:0.20,0.52; ang_vel:-19.64",accelerate
"pos:0.08,0.66; rot:273; vel:0.51,0.20; ang_vel:34.41",turn_left_15
"pos:-0.50,1.19; rot:274; vel:1.68,0.84; ang_vel:-46.10",turn_left_32
"pos:-0.05,1.42; rot:261; vel:0.71,0.36; ang_vel:-19.56",turn_left_27
"pos:0.05,1.47; rot:258; vel:0.52,0.26; ang_vel:-13.55",accelerate
"pos:0.87,1.27; rot:256; vel:3.87,-0.99; ang_vel:-8.65",turn_left_41
"pos:1.39,0.45; rot:297; vel:0.58,-0.11; ang_vel:35.77",turn_right_15
"pos:1.39,0.45; rot:300; vel:0.58,-0.11; ang_vel:35.77",turn_left_15
"pos:1.61,1.27; rot:235; vel:1.20,0.00; ang_vel:-34.30",turn_left_37
"pos:1.91,1.27; rot:226; vel:0.60,0.00; ang_vel:-16.45",accelerate
"pos:2.07,1.11; rot:225; vel:2.85,-2.81; ang_vel:-14.55",turn_left_34
"pos:2.32,-0.38; rot:342; vel:0.41,-0.39; ang_vel:32.44",turn_right_15
"pos:2.32,-0.38; rot:348; vel:0.41,-0.39; ang_vel:32.44",turn_left_15
"pos:2.92,0.24; rot:200; vel:1.42,-1.20; ang_vel:-58.45",turn_left_44
"pos:3.34,-0.11; rot:183; vel:0.58,-0.49; ang_vel:-22.86",turn_left_37
"pos:3.38,-0.15; rot:181; vel:0.47,-0.40; ang_vel:-18.64",accelerate
"pos:2.44,-1.59; rot:7; vel:0.03,-0.54; ang_vel:31.17",turn_right_15
"pos:2.44,-1.59; rot:11; vel:0.03,-0.54; ang_vel:31.17",turn_left_15
"pos:3.51,-2.23; rot:160; vel:0.24,-1.49; ang_vel:-25.33",turn_left_76
"pos:3.57,-2.57; rot:154; vel:0.12,-0.77; ang_vel:-12.65",accelerate
