enemy_distance,enemy_angle,edge_distance,center_distance,enemy_stuck,enemy_behind,skill_ready,dash_ready,situation,category,round,strategy
0.42,-154.1,3.07,3.94,0,0,1,1,"Enemy is 0.42 meters ahead, angle -154.1 degrees, edge distance 3.07, center distance 3.94, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",practice,3,turn_left_15+accelerate
1.89,123.7,2.29,2.5,1,1,1,1,"Enemy is 1.89 meters ahead, angle 123.7 degrees, edge distance 2.29, center distance 2.5, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True",simulation,1,turn_left_90+accelerate
2.4,2.5,0.86,4.84,1,0,1,0,"Enemy is 2.4 meters ahead, angle 2.5 degrees, edge distance 0.86, center distance 4.84, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",simulation,1,boost
2.11,2.1,1.07,2.13,1,0,0,0,"Enemy is 2.11 meters ahead, angle 2.1 degrees, edge distance 1.07, center distance 2.13, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",tournament,4,turn_left_45
1.56,160.3,3.32,3.09,0,0,1,1,"Enemy is 1.56 meters ahead, angle 160.3 degrees, edge distance 3.32, center distance 3.09, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",simulation,4,turn_right_45
2.43,-135.2,1.45,1.36,1,0,1,1,"Enemy is 2.43 meters ahead, angle -135.2 degrees, edge distance 1.45, center distance 1.36, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: True",simulation,2,turn_left_45+accelerate
1.13,124.4,2.08,0.3,1,1,1,0,"Enemy is 1.13 meters ahead, angle 124.4 degrees, edge distance 2.08, center distance 0.3, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",practice,2,turn_right_15+accelerate
1.56,5.7,0.35,3.79,0,1,1,0,"Enemy is 1.56 meters ahead, angle 5.7 degrees, edge distance 0.35, center distance 3.79, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",tournament,1,turn_right_90+dash+accelerate
1.44,-123.3,1.63,2.26,0,0,1,1,"Enemy is 1.44 meters ahead, angle -123.3 degrees, edge distance 1.63, center distance 2.26, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",practice,2,turn_right_90+accelerate
0.6,-98.3,4.81,3.67,0,1,1,0,"Enemy is 0.6 meters ahead, angle -98.3 degrees, edge distance 4.81, center distance 3.67, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",practice,1,turn_right_45+accelerate
0.93,100.1,3.59,3.1,0,0,1,0,"Enemy is 0.93 meters ahead, angle 100.1 degrees, edge distance 3.59, center distance 3.1, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",simulation,4,turn_left_90+accelerate
1.69,-124.8,4.83,1.12,1,1,0,0,"Enemy is 1.69 meters ahead, angle -124.8 degrees, edge distance 4.83, center distance 1.12, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",simulation,1,turn_right_15+accelerate
0.62,42.3,3.17,0.7,1,1,1,0,"Enemy is 0.62 meters ahead, angle 42.3 degrees, edge distance 3.17, center distance 0.7, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",simulation,3,turn_left_15+accelerate
0.8,159.0,3.3,0.48,1,1,0,0,"Enemy is 0.8 meters ahead, angle 159.0 degrees, edge distance 3.3, center distance 0.48, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",simulation,1,turn_right_90+accelerate
0.99,160.4,3.79,1.38,1,0,0,1,"Enemy is 0.99 meters ahead, angle 160.4 degrees, edge distance 3.79, center distance 1.38, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",tournament,4,turn_left_15
1.85,-135.4,0.71,1.23,1,0,1,0,"Enemy is 1.85 meters ahead, angle -135.4 degrees, edge distance 0.71, center distance 1.23, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",simulation,5,turn_left_15+accelerate
2.0,107.3,2.87,3.09,1,1,1,1,"Enemy is 2.0 meters ahead, angle 107.3 degrees, edge distance 2.87, center distance 3.09, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True",simulation,4,turn_left_45+accelerate
0.69,67.8,4.33,4.45,0,0,0,1,"Enemy is 0.69 meters ahead, angle 67.8 degrees, edge distance 4.33, center distance 4.45, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: True",simulation,5,turn_left_90+accelerate
0.31,-25.8,1.11,1.01,0,1,0,1,"Enemy is 0.31 meters ahead, angle -25.8 degrees, edge distance 1.11, center distance 1.01, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True",practice,2,accelerate
2.19,74.1,3.74,2.55,0,0,0,0,"Enemy is 2.19 meters ahead, angle 74.1 degrees, edge distance 3.74, center distance 2.55, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",tournament,2,turn_left_45+accelerate
2.45,-19.1,3.55,2.88,1,0,0,1,"Enemy is 2.45 meters ahead, angle -19.1 degrees, edge distance 3.55, center distance 2.88, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",tournament,3,turn_left_90+dash+accelerate
1.89,-119.1,0.21,0.06,0,1,0,0,"Enemy is 1.89 meters ahead, angle -119.1 degrees, edge distance 0.21, center distance 0.06, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: False",tournament,4,turn_right_45+accelerate
1.76,-83.5,1.33,0.28,1,0,0,1,"Enemy is 1.76 meters ahead, angle -83.5 degrees, edge distance 1.33, center distance 0.28, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",tournament,1,turn_right_45+accelerate
2.48,-115.9,1.88,3.98,0,0,1,1,"Enemy is 2.48 meters ahead, angle -115.9 degrees, edge distance 1.88, center distance 3.98, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",tournament,2,turn_left_45+accelerate
0.92,165.1,3.45,1.67,0,1,0,1,"Enemy is 0.92 meters ahead, angle 165.1 degrees, edge distance 3.45, center distance 1.67, enemy stuck: False, enemy behind: True, skill ready: False, dash ready: True",practice,3,turn_right_45
1.67,52.4,3.15,4.18,1,0,0,0,"Enemy is 1.67 meters ahead, angle 52.4 degrees, edge distance 3.15, center distance 4.18, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",practice,5,turn_right_45+accelerate
2.23,146.7,3.68,1.36,0,0,0,0,"Enemy is 2.23 meters ahead, angle 146.7 degrees, edge distance 3.68, center distance 1.36, enemy stuck: False, enemy behind: False, skill ready: False, dash ready: False",tournament,1,turn_right_90+accelerate
1.53,-131.3,1.71,4.11,1,0,0,1,"Enemy is 1.53 meters ahead, angle -131.3 degrees, edge distance 1.71, center distance 4.11, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: True",tournament,4,turn_left_90+accelerate
