context_input,accelerate,boost,dash,stay,turn_left_111,turn_left_15,turn_left_20,turn_left_22,turn_left_23,turn_left_24,turn_left_26,turn_left_27,turn_left_28,turn_left_29,turn_left_30,turn_left_31,turn_left_32,turn_left_33,turn_left_34,turn_left_36,turn_left_37,turn_left_38,turn_left_40,turn_left_41,turn_left_42,turn_left_43,turn_left_44,turn_left_45,turn_left_46,turn_left_47,turn_left_48,turn_left_50,turn_left_51,turn_left_52,turn_left_54,turn_left_56,turn_left_57,turn_left_58,turn_left_59,turn_left_60,turn_left_62,turn_left_64,turn_left_65,turn_left_67,turn_left_69,turn_left_70,turn_left_71,turn_left_72,turn_left_73,turn_left_75,turn_left_76,turn_left_77,turn_left_82,turn_left_84,turn_left_86,turn_left_87,turn_left_90,turn_right_131,turn_right_15,turn_right_37,turn_right_45,turn_right_56,turn_right_90
"Enemy is 0.42 meters ahead, angle -154.1 degrees, edge distance 3.07, center distance 3.94, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enemy is 0.42 meters ahead, angle -154.1 degrees, edge distance 3.07, center distance 3.94, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True [CTX] Enemy is 1.89 meters ahead, angle 123.7 degrees, edge distance 2.29, center distance 2.5, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Enemy is 0.42 meters ahead, angle -154.1 degrees, edge distance 3.07, center distance 3.94, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True [CTX] Enemy is 1.89 meters ahead, angle 123.7 degrees, edge distance 2.29, center distance 2.5, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True [CTX] Enemy is 2.4 meters ahead, angle 2.5 degrees, edge distance 0.86, center distance 4.84, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enemy is 1.89 meters ahead, angle 123.7 degrees, edge distance 2.29, center distance 2.5, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: True [CTX] Enemy is 2.4 meters ahead, angle 2.5 degrees, edge distance 0.86, center distance 4.84, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False [CTX] Enemy is 2.11 meters ahead, angle 2.1 degrees, edge distance 1.07, center distance 2.13, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enemy is 2.4 meters ahead, angle 2.5 degrees, edge distance 0.86, center distance 4.84, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: False [CTX] Enemy is 2.11 meters ahead, angle 2.1 degrees, edge distance 1.07, center distance 2.13, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False [CTX] Enemy is 1.56 meters ahead, angle 160.3 degrees, edge distance 3.32, center distance 3.09, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Enemy is 2.11 meters ahead, angle 2.1 degrees, edge distance 1.07, center distance 2.13, enemy stuck: True, enemy behind: False, skill ready: False, dash ready: False [CTX] Enemy is 1.56 meters ahead, angle 160.3 degrees, edge distance 3.32, center distance 3.09, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True [CTX] Enemy is 2.43 meters ahead, angle -135.2 degrees, edge distance 1.45, center distance 1.36, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: True",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Enemy is 1.56 meters ahead, angle 160.3 degrees, edge distance 3.32, center distance 3.09, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True [CTX] Enemy is 2.43 meters ahead, angle -135.2 degrees, edge distance 1.45, center distance 1.36, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: True [CTX] Enemy is 1.13 meters ahead, angle 124.4 degrees, edge distance 2.08, center distance 0.3, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Enemy is 2.43 meters ahead, angle -135.2 degrees, edge distance 1.45, center distance 1.36, enemy stuck: True, enemy behind: False, skill ready: True, dash ready: True [CTX] Enemy is 1.13 meters ahead, angle 124.4 degrees, edge distance 2.08, center distance 0.3, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False [CTX] Enemy is 1.56 meters ahead, angle 5.7 degrees, edge distance 0.35, center distance 3.79, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Enemy is 1.13 meters ahead, angle 124.4 degrees, edge distance 2.08, center distance 0.3, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False [CTX] Enemy is 1.56 meters ahead, angle 5.7 degrees, edge distance 0.35, center distance 3.79, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False [CTX] Enemy is 1.44 meters ahead, angle -123.3 degrees, edge distance 1.63, center distance 2.26, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Enemy is 1.56 meters ahead, angle 5.7 degrees, edge distance 0.35, center distance 3.79, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False [CTX] Enemy is 1.44 meters ahead, angle -123.3 degrees, edge distance 1.63, center distance 2.26, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True [CTX] Enemy is 0.6 meters ahead, angle -98.3 degrees, edge distance 4.81, center distance 3.67, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"Enemy is 1.44 meters ahead, angle -123.3 degrees, edge distance 1.63, center distance 2.26, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: True [CTX] Enemy is 0.6 meters ahead, angle -98.3 degrees, edge distance 4.81, center distance 3.67, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False [CTX] Enemy is 0.93 meters ahead, angle 100.1 degrees, edge distance 3.59, center distance 3.1, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Enemy is 0.6 meters ahead, angle -98.3 degrees, edge distance 4.81, center distance 3.67, enemy stuck: False, enemy behind: True, skill ready: True, dash ready: False [CTX] Enemy is 0.93 meters ahead, angle 100.1 degrees, edge distance 3.59, center distance 3.1, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False [CTX] Enemy is 1.69 meters ahead, angle -124.8 degrees, edge distance 4.83, center distance 1.12, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Enemy is 0.93 meters ahead, angle 100.1 degrees, edge distance 3.59, center distance 3.1, enemy stuck: False, enemy behind: False, skill ready: True, dash ready: False [CTX] Enemy is 1.69 meters ahead, angle -124.8 degrees, edge distance 4.83, center distance 1.12, enemy stuck: True, enemy behind: True, skill ready: False, dash ready: False [CTX] Enemy is 0.62 meters ahead, angle 42.3 degrees, edge distance 3.17, center distance 0.7, enemy stuck: True, enemy behind: True, skill ready: True, dash ready: False",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
